,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
17,39.0,194.0,2265059.0,2265115.0,5702.0,214.0,118.0,601643.0,47.0,127.0,1402.0,0.0,1.0,40.0,0.0556,0.3431,0.3613,0.1106,0.7243,0.4746,0.0,3.7560000000000002,2.1903,1.7482,-0.6387,-0.1757,1.0,0.0
18,41.0,218.0,2098521.0,2098591.0,6937.0,253.0,135.0,722716.0,39.0,127.0,1358.0,0.0,1.0,40.0,0.0604,0.4401,0.3955,0.1303,0.6996,0.5185,0.0,3.8412,2.248,1.8451,-0.6045,-0.1861,1.0,0.0
19,476.0,490.0,13302.0,13320.0,227.0,14.0,18.0,21216.0,36.0,127.0,1373.0,0.0,1.0,40.0,0.6934,0.0992,0.7778,0.0102,1.0,1.0,1.0,2.356,1.1461,1.2553,0.2222,-0.2698,0.41700000000000004,0.0
20,109.0,181.0,1867972.0,1868026.0,1843.0,171.0,85.0,230162.0,115.0,135.0,1356.0,0.0,1.0,40.0,0.1608,0.526,0.75,0.0531,0.4211,0.6353,0.0,3.2655,1.8573,1.7324,-0.25,-0.0243,1.0,0.0
21,41.0,205.0,2133677.0,2133849.0,11542.0,757.0,441.0,1338028.0,42.0,140.0,1402.0,0.0,1.0,40.0,0.0585,0.5908,0.9535,0.11699999999999999,0.2166,0.39,1.0,4.0623,2.2148,2.2355,0.0465,-0.0943,1.0,0.0
22,225.0,346.0,130372.0,130421.0,3228.0,166.0,89.0,260241.0,38.0,103.0,1670.0,0.0,1.0,40.0,0.2695,0.4556,0.405,0.0725,0.7289,0.5506,0.0,3.5089,2.0828,1.6902,-0.595,-0.3702,1.0,0.0
23,39.0,195.0,601086.0,601148.0,5786.0,202.0,106.0,600867.0,41.0,124.0,1358.0,0.0,1.0,40.0,0.0574,0.4018,0.3974,0.1149,0.7723,0.5849,0.0,3.7624,2.1931,1.7924,-0.6026,-0.1887,1.0,0.0
24,41.0,456.0,674290.0,674482.0,16686.0,842.0,562.0,2013557.0,19.0,150.0,1402.0,0.0,1.0,40.0,0.0585,0.7906,0.4627,0.29600000000000004,0.4929,0.3416,0.0,4.2224,2.6181,2.2833,-0.5373,-0.0572,1.0,0.0
25,39.0,187.0,1480323.0,1480475.0,13309.0,500.0,310.0,1550152.0,31.0,143.0,1402.0,0.0,1.0,40.0,0.0556,0.4084,0.9737,0.1056,0.29600000000000004,0.4903,1.0,4.1241,2.1703,2.1818,0.0263,-0.09,1.0,0.0
26,39.0,175.0,2605918.0,2606006.0,6381.0,280.0,166.0,678752.0,41.0,135.0,1400.0,0.0,1.0,40.0,0.0557,0.4668,0.6471,0.0971,0.4857,0.5301,0.0,3.8049,2.1335,1.9445,-0.3529,-0.16899999999999998,1.0,0.0
27,41.0,199.0,2421293.0,2421350.0,5593.0,239.0,133.0,593650.0,42.0,127.0,1402.0,0.0,1.0,40.0,0.0585,0.379,0.3608,0.1127,0.6611,0.4286,0.0,3.7476,2.1987,1.7559,-0.6392,-0.1708,1.0,0.0
28,259.0,272.0,125025.0,125040.0,150.0,13.0,15.0,28697.0,172.0,212.0,1387.0,0.0,1.0,40.0,0.3735,0.2308,0.8667,0.0094,1.0,1.0,1.0,2.1761,1.1139,1.1761,0.1333,0.4946,0.3285,0.0
29,37.0,217.0,1825287.0,1825355.0,6605.0,310.0,151.0,684731.0,38.0,126.0,1356.0,0.0,1.0,40.0,0.0546,0.4604,0.3778,0.1327,0.5806,0.4503,0.0,3.8199,2.2553,1.8325,-0.6222,-0.1901,1.0,0.0
30,41.0,216.0,1669152.0,1669220.0,6422.0,278.0,138.0,670952.0,43.0,126.0,1358.0,0.0,1.0,40.0,0.0604,0.4603,0.3886,0.1289,0.6295,0.4927,0.0,3.8077,2.2430000000000003,1.8325,-0.6114,-0.1838,1.0,0.0
31,1084.0,1097.0,185575.0,185588.0,108.0,16.0,17.0,21840.0,195.0,212.0,1387.0,0.0,1.0,40.0,0.4182,0.3609,1.0,0.0094,0.8125,0.7647,0.5,2.0334,1.1139,1.1139,0.0,0.5799,0.2914,0.0
32,39.0,215.0,3003398.0,3003466.0,6570.0,274.0,141.0,685255.0,40.0,119.0,1356.0,0.0,1.0,40.0,0.0575,0.451,0.3864,0.1298,0.6423,0.4823,0.0,3.8176,2.2455,1.8325,-0.6136,-0.1851,1.0,0.0
33,41.0,224.0,1370247.0,1370411.0,11535.0,758.0,419.0,1327403.0,23.0,141.0,1400.0,0.0,1.0,40.0,0.0586,0.6156,0.8962,0.1307,0.2414,0.3914,0.0,4.062,2.2624,2.2148,-0.1038,-0.10099999999999999,1.0,0.0
34,39.0,214.0,1050670.0,1050830.0,13033.0,731.0,420.0,1508093.0,29.0,141.0,1398.0,0.0,1.0,40.0,0.0558,0.5345,0.9143,0.1252,0.2394,0.381,0.0,4.115,2.2430000000000003,2.2041,-0.0857,-0.096,1.0,0.0
35,51.0,175.0,249693.0,249742.0,3631.0,179.0,96.0,378154.0,45.0,125.0,1362.0,0.0,1.0,40.0,0.0749,0.4024,0.3952,0.091,0.6927,0.5104,0.0,3.56,2.0934,1.6902,-0.6048,-0.1864,1.0,0.0
36,43.0,198.0,686245.0,686304.0,6227.0,205.0,117.0,644765.0,38.0,124.0,1358.0,0.0,1.0,40.0,0.0633,0.3191,0.3807,0.1141,0.7561,0.5043,0.0,3.7943,2.1903,1.7708,-0.6194,-0.1911,1.0,0.0
37,39.0,216.0,1903355.0,1903423.0,6878.0,247.0,128.0,709363.0,38.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.4286,0.3842,0.1303,0.7166,0.5313,0.0,3.8375,2.248,1.8325,-0.6158,-0.1943,1.0,0.0
38,39.0,212.0,2730163.0,2730230.0,6108.0,299.0,149.0,635284.0,40.0,125.0,1356.0,0.0,1.0,40.0,0.0575,0.473,0.3873,0.1276,0.5786,0.4497,0.0,3.7859,2.238,1.8261,-0.6127,-0.1874,1.0,0.0
39,39.0,216.0,2382409.0,2382472.0,6239.0,263.0,135.0,648169.0,46.0,124.0,1358.0,0.0,1.0,40.0,0.0574,0.4405,0.3559,0.1303,0.6729999999999999,0.4667,0.0,3.7951,2.248,1.7993,-0.6441,-0.1884,1.0,0.0
40,80.0,210.0,7318386.0,7318440.0,4071.0,177.0,99.0,439881.0,56.0,127.0,1360.0,0.0,1.0,40.0,0.1177,0.4201,0.4154,0.0956,0.7345,0.5454,0.0,3.6097,2.1139,1.7324,-0.5846,-0.1558,1.0,0.0
41,41.0,219.0,1221106.0,1221276.0,15601.0,865.0,517.0,1835252.0,23.0,143.0,1400.0,0.0,1.0,40.0,0.0586,0.4844,0.9551,0.1271,0.2058,0.3288,0.0,4.1932,2.2504,2.2304,-0.0449,-0.081,1.0,0.0
42,50.0,181.0,168027.0,168086.0,3912.0,226.0,105.0,407966.0,29.0,135.0,1362.0,0.0,1.0,40.0,0.0734,0.4938,0.4504,0.0962,0.5796,0.5619,0.0,3.5924,2.1173,1.7708,-0.5496,-0.1853,1.0,0.0
43,41.0,193.0,1970337.0,1970509.0,10941.0,685.0,407.0,1246740.0,40.0,140.0,1402.0,0.0,1.0,40.0,0.0585,0.5815,0.8837,0.1084,0.2219,0.4226,1.0,4.0391,2.1818,2.2355,0.1163,-0.1098,1.0,0.0
44,39.0,194.0,498190.0,498252.0,5877.0,211.0,110.0,612067.0,47.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.3884,0.4,0.1141,0.7346,0.5636,0.0,3.7692,2.1903,1.7924,-0.6,-0.1864,1.0,0.0
45,43.0,215.0,1253069.0,1253240.0,13975.0,795.0,441.0,1630309.0,29.0,140.0,1400.0,0.0,1.0,40.0,0.0614,0.5249,0.9942,0.1229,0.2164,0.3878,0.0,4.1453,2.2355,2.233,-0.0058,-0.0886,1.0,0.0
46,41.0,218.0,897989.0,898132.0,14949.0,720.0,469.0,1734628.0,27.0,142.0,1400.0,0.0,1.0,40.0,0.0586,0.4094,0.8079,0.1264,0.2458,0.3049,0.0,4.1746,2.248,2.1553,-0.1921,-0.0935,1.0,0.0
47,43.0,195.0,1636571.0,1636729.0,13057.0,562.0,361.0,1507763.0,32.0,140.0,1404.0,0.0,1.0,40.0,0.0613,0.4563,0.9620000000000001,0.1083,0.2705,0.4377,1.0,4.1158,2.1818,2.1987,0.038,-0.0979,1.0,0.0
48,39.0,211.0,1292132.0,1292303.0,12012.0,607.0,362.0,1381722.0,30.0,141.0,1398.0,0.0,1.0,40.0,0.0558,0.5916,0.9942,0.12300000000000001,0.2834,0.4724,0.0,4.0796,2.2355,2.233,-0.0058,-0.1013,1.0,0.0
49,41.0,393.0,1924169.0,1924363.0,10429.0,578.0,382.0,1196792.0,33.0,141.0,1402.0,0.0,1.0,40.0,0.0585,0.8473,0.5511,0.2511,0.609,0.5078,0.0,4.0182,2.5465,2.2878,-0.4489,-0.1035,1.0,0.0
50,98.0,192.0,2013457.0,2013541.0,2795.0,312.0,171.0,349157.0,115.0,140.0,1358.0,0.0,1.0,40.0,0.1443,0.6459999999999999,0.8936,0.0692,0.3013,0.4912,0.0,3.4464,1.9731,1.9243,-0.1064,-0.024,1.0,0.0
51,39.0,212.0,1299230.0,1299402.0,11875.0,657.0,387.0,1375431.0,32.0,143.0,1398.0,0.0,1.0,40.0,0.0558,0.6009,0.9942,0.1238,0.2633,0.4444,0.0,4.0746,2.238,2.2355,-0.0058,-0.0951,1.0,0.0
52,39.0,193.0,519483.0,519540.0,5852.0,205.0,117.0,608466.0,42.0,126.0,1356.0,0.0,1.0,40.0,0.0575,0.3333,0.3701,0.1136,0.7512,0.4872,0.0,3.7673,2.1875,1.7559,-0.6299,-0.1877,1.0,0.0
53,39.0,226.0,876673.0,876871.0,18954.0,749.0,482.0,2236201.0,25.0,143.0,1400.0,0.0,1.0,40.0,0.0557,0.4881,0.9444,0.1336,0.2497,0.4108,1.0,4.2777,2.2718,2.2967,0.0556,-0.0783,1.0,0.0
54,856.0,864.0,519257.0,519266.0,57.0,10.0,11.0,9848.0,161.0,183.0,1387.0,0.0,1.0,40.0,0.7541,0.2083,0.8889,0.0058,0.8,0.8182,1.0,1.7559,0.9031,0.9542,0.1111,0.3498,0.1773,0.0
55,498.0,515.0,31041.0,31058.0,231.0,17.0,17.0,21639.0,33.0,127.0,1373.0,0.0,1.0,40.0,0.7254,0.2007,1.0,0.0124,1.0,1.0,0.5,2.3636,1.2305,1.2305,0.0,-0.2682,0.4779,0.0
56,41.0,185.0,1934838.0,1934989.0,9576.0,564.0,343.0,1098162.0,37.0,141.0,1402.0,0.0,1.0,40.0,0.0585,0.5596,0.9536,0.1027,0.2553,0.4402,1.0,3.9812,2.1584,2.1790000000000003,0.0464,-0.1041,1.0,0.0
57,43.0,193.0,1625918.0,1626076.0,12718.0,596.0,348.0,1459713.0,31.0,140.0,1402.0,0.0,1.0,40.0,0.0613,0.4634,0.9494,0.107,0.2517,0.45399999999999996,1.0,4.1044,2.1761,2.1987,0.0506,-0.1033,1.0,0.0
58,39.0,212.0,862475.0,862693.0,17357.0,794.0,495.0,2034432.0,27.0,142.0,1400.0,0.0,1.0,40.0,0.0557,0.5398,0.7936,0.1236,0.2179,0.4404,1.0,4.2395,2.238,2.3385,0.2064,-0.0843,1.0,0.0
59,41.0,221.0,1889165.0,1889228.0,6490.0,282.0,140.0,669614.0,36.0,124.0,1356.0,0.0,1.0,40.0,0.0605,0.4277,0.35,0.1327,0.6383,0.45,0.0,3.8122,2.2553,1.7993,-0.65,-0.1939,1.0,0.0
60,43.0,176.0,366881.0,366932.0,4048.0,178.0,96.0,421512.0,50.0,126.0,1360.0,0.0,1.0,40.0,0.0632,0.4032,0.3835,0.0978,0.7472,0.5313,0.0,3.6072,2.1239,1.7076,-0.6165,-0.1865,1.0,0.0
61,42.0,180.0,388190.0,388236.0,4019.0,191.0,102.0,417578.0,41.0,125.0,1360.0,0.0,1.0,40.0,0.0618,0.3669,0.3333,0.1015,0.7225,0.451,0.0,3.6041,2.1399,1.6628,-0.6667,-0.1883,1.0,0.0
62,37.0,212.0,2222725.0,2222791.0,6281.0,265.0,132.0,654358.0,42.0,126.0,1356.0,0.0,1.0,40.0,0.0546,0.4562,0.3771,0.1291,0.6604,0.5,0.0,3.798,2.2430000000000003,1.8195,-0.6229,-0.1861,1.0,0.0
63,836.0,878.0,2150529.0,2150756.0,5390.0,297.0,258.0,635678.0,9.0,143.0,1362.0,0.0,1.0,40.0,0.7107,0.4347,0.185,0.0308,0.1414,0.8798,1.0,3.7316,1.6233,2.356,0.815,-0.0786,1.0,0.0
64,39.0,191.0,1661425.0,1661593.0,12509.0,622.0,374.0,1456542.0,27.0,141.0,1400.0,0.0,1.0,40.0,0.0557,0.5101,0.9048,0.1086,0.2444,0.4492,1.0,4.0972,2.1818,2.2253,0.0952,-0.0903,1.0,0.0
65,41.0,197.0,1959683.0,1959850.0,11411.0,801.0,433.0,1303229.0,40.0,141.0,1400.0,0.0,1.0,40.0,0.0586,0.562,0.9341,0.1114,0.1948,0.3857,1.0,4.0573,2.1931,2.2227,0.0659,-0.1077,1.0,0.0
66,39.0,196.0,590440.0,590503.0,6143.0,198.0,119.0,637317.0,45.0,125.0,1358.0,0.0,1.0,40.0,0.0574,0.3789,0.4013,0.1156,0.7929,0.5294,0.0,3.7884,2.1959,1.7993,-0.5987,-0.1895,1.0,0.0
67,39.0,212.0,1185602.0,1185752.0,13387.0,763.0,425.0,1546189.0,29.0,141.0,1398.0,0.0,1.0,40.0,0.0558,0.4841,0.867,0.1238,0.2267,0.3529,0.0,4.1267,2.238,2.1761,-0.1329,-0.0977,1.0,0.0
68,39.0,216.0,2648545.0,2648612.0,6309.0,269.0,140.0,660758.0,45.0,127.0,1358.0,0.0,1.0,40.0,0.0574,0.46799999999999997,0.3785,0.1303,0.6579999999999999,0.4786,0.0,3.8,2.248,1.8261,-0.6215,-0.1818,1.0,0.0
69,41.0,190.0,462709.0,462786.0,6232.0,250.0,130.0,648220.0,48.0,133.0,1356.0,0.0,1.0,40.0,0.0605,0.4568,0.5168,0.1099,0.596,0.5923,0.0,3.7946,2.1732,1.8865,-0.4832,-0.1874,1.0,0.0
70,203.0,342.0,55774.0,55824.0,3333.0,173.0,87.0,246531.0,35.0,95.0,1666.0,0.0,1.0,40.0,0.2437,0.5204,0.3597,0.0834,0.8035,0.5747,0.0,3.5228,2.1430000000000002,1.699,-0.6403,-0.4221,1.0,0.0
71,134.0,156.0,178723.0,178731.0,101.0,31.0,21.0,12531.0,118.0,135.0,1362.0,0.0,1.0,40.0,0.1968,0.4261,0.3636,0.0161,0.7097,0.381,0.0,2.0043,1.3424,0.9031,-0.6364,-0.0307,0.3012,0.0
72,41.0,218.0,2187237.0,2187305.0,6010.0,257.0,123.0,626586.0,39.0,126.0,1358.0,0.0,1.0,40.0,0.0604,0.5007,0.3842,0.1303,0.6887,0.5529,0.0,3.7789,2.248,1.8325,-0.6158,-0.1855,1.0,0.0
73,39.0,217.0,2265307.0,2265372.0,6185.0,313.0,158.0,640970.0,41.0,119.0,1358.0,0.0,1.0,40.0,0.0574,0.4654,0.3652,0.1311,0.5687,0.4114,0.0,3.7913,2.2504,1.8129,-0.6348,-0.1904,1.0,0.0
74,39.0,189.0,47299.0,47376.0,5757.0,240.0,136.0,600689.0,38.0,133.0,1358.0,0.0,1.0,40.0,0.0574,0.5016,0.5133,0.1105,0.625,0.5662,0.0,3.7602,2.1761,1.8865,-0.4867,-0.1848,1.0,0.0
75,41.0,183.0,199980.0,200030.0,4214.0,210.0,116.0,445047.0,42.0,126.0,1360.0,0.0,1.0,40.0,0.0603,0.4065,0.3521,0.1044,0.6762,0.431,0.0,3.6247,2.1523,1.699,-0.6479,-0.1749,1.0,0.0
76,86.0,215.0,7325485.0,7325536.0,4346.0,163.0,89.0,473046.0,65.0,127.0,1360.0,0.0,1.0,40.0,0.1265,0.3394,0.3954,0.0949,0.7914,0.573,0.0,3.6381,2.1106,1.7076,-0.6047,-0.1496,1.0,0.0
77,56.0,173.0,310065.0,310112.0,3287.0,163.0,87.0,342248.0,50.0,125.0,1362.0,0.0,1.0,40.0,0.0822,0.4022,0.4017,0.0859,0.7178,0.5402,0.0,3.5168,2.0682,1.6721,-0.5983,-0.1866,1.0,0.0
78,39.0,218.0,1750768.0,1750835.0,6543.0,279.0,160.0,679238.0,39.0,125.0,1358.0,0.0,1.0,40.0,0.0574,0.4544,0.3743,0.1318,0.6416,0.4187,0.0,3.8158,2.2529,1.8261,-0.6257,-0.18899999999999997,1.0,0.0
79,41.0,194.0,1711137.0,1711281.0,10913.0,634.0,359.0,1248379.0,25.0,141.0,1402.0,0.0,1.0,40.0,0.0585,0.5047,0.9412,0.1091,0.2413,0.4011,0.0,4.0379,2.1847,2.1584,-0.0588,-0.1063,1.0,0.0
80,1147.0,1162.0,41184.0,41201.0,194.0,16.0,17.0,19202.0,68.0,124.0,1373.0,0.0,1.0,40.0,0.3074,0.2392,0.8824,0.0109,0.9375,1.0,1.0,2.2878,1.1761,1.2305,0.1177,-0.2267,0.4219,0.0
81,1212.0,1220.0,198764.0,198776.0,74.0,12.0,12.0,13025.0,163.0,188.0,1387.0,0.0,1.0,40.0,0.2408,0.2292,0.6667,0.0058,0.6667,1.0,1.0,1.8692,0.9031,1.0792,0.3333,0.3751,0.2018,0.0
82,37.0,212.0,2751455.0,2751522.0,6280.0,324.0,184.0,654471.0,40.0,124.0,1358.0,0.0,1.0,40.0,0.0545,0.4644,0.3829,0.1289,0.5401,0.3641,0.0,3.798,2.2430000000000003,1.8261,-0.6171,-0.1858,1.0,0.0
83,126.0,165.0,75758.0,75777.0,384.0,70.0,42.0,47481.0,115.0,135.0,1358.0,0.0,1.0,40.0,0.1856,0.4818,0.4872,0.0287,0.5571,0.4524,0.0,2.5843,1.5911,1.2787,-0.5128,-0.034,0.9491,0.0
84,43.0,211.0,2300789.0,2300856.0,6279.0,306.0,149.0,648910.0,36.0,126.0,1358.0,0.0,1.0,40.0,0.0633,0.4422,0.3988,0.1237,0.5489999999999999,0.4497,0.0,3.7979,2.2253,1.8261,-0.6012,-0.1926,1.0,0.0
85,41.0,196.0,1494534.0,1494716.0,12729.0,634.0,404.0,1482862.0,29.0,143.0,1400.0,0.0,1.0,40.0,0.0586,0.5488,0.8516,0.1107,0.2445,0.4505,1.0,4.1048,2.1903,2.2601,0.1484,-0.0899,1.0,0.0
86,39.0,178.0,2627229.0,2627391.0,7998.0,558.0,343.0,889727.0,49.0,140.0,1400.0,0.0,1.0,40.0,0.0557,0.6448,0.858,0.0993,0.2491,0.4723,1.0,3.903,2.1430000000000002,2.2095,0.142,-0.1309,1.0,0.0
87,39.0,215.0,1601728.0,1601796.0,6430.0,276.0,127.0,669161.0,46.0,126.0,1358.0,0.0,1.0,40.0,0.0574,0.4627,0.3864,0.1296,0.6377,0.5354,0.0,3.8082,2.2455,1.8325,-0.6136,-0.187,1.0,0.0
88,39.0,218.0,1495267.0,1495336.0,7250.0,268.0,141.0,746545.0,40.0,119.0,1356.0,0.0,1.0,40.0,0.0575,0.413,0.3855,0.132,0.6679,0.4894,0.0,3.8603,2.2529,1.8389,-0.6145,-0.1955,1.0,0.0
89,39.0,191.0,1565555.0,1565703.0,13114.0,618.0,381.0,1507625.0,33.0,141.0,1400.0,0.0,1.0,40.0,0.0557,0.4171,0.9737,0.1086,0.2459,0.3884,0.0,4.1177,2.1818,2.1703,-0.0263,-0.1019,1.0,0.0
90,2.0,226.0,29657.0,29792.0,16052.0,805.0,400.0,1594353.0,26.0,126.0,1358.0,0.0,1.0,50.0,0.003,0.4692,0.6027,0.1649,0.2783,0.3375,0.0,4.2055,2.3503,2.1303,-0.3973,-0.22399999999999998,1.0,0.0
91,128.0,189.0,2315086.0,2315172.0,2160.0,259.0,149.0,269308.0,116.0,135.0,1358.0,0.0,1.0,40.0,0.1885,0.5883,0.7093,0.0449,0.2355,0.5772,1.0,3.3345,1.7853,1.9345,0.2907,-0.0259,1.0,0.0
92,3.0,776.0,19000.0,19123.0,14386.0,851.0,424.0,1445817.0,27.0,124.0,1358.0,0.0,1.0,50.0,0.0044,0.8487,0.1591,0.5692,0.9083,0.2901,0.0,4.1579,2.8882,2.0899,-0.8409,-0.2148,1.0,0.0
93,39.0,212.0,1814642.0,1814708.0,6525.0,278.0,134.0,674367.0,38.0,124.0,1358.0,0.0,1.0,40.0,0.0574,0.4285,0.3815,0.1274,0.6223,0.4925,0.0,3.8146,2.238,1.8195,-0.6185,-0.1926,1.0,0.0
94,41.0,221.0,4358896.0,4358964.0,6294.0,289.0,160.0,661448.0,43.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4858,0.3778,0.1326,0.6228,0.425,0.0,3.7989,2.2553,1.8325,-0.6222,-0.179,1.0,0.0
95,43.0,193.0,2368032.0,2368203.0,9892.0,682.0,424.0,1130960.0,42.0,140.0,1402.0,0.0,1.0,40.0,0.0613,0.6144,0.8772,0.107,0.2199,0.4033,1.0,3.9953,2.1761,2.233,0.1228,-0.1068,1.0,0.0
96,39.0,196.0,931074.0,931135.0,5885.0,249.0,136.0,610139.0,40.0,127.0,1358.0,0.0,1.0,40.0,0.0574,0.3855,0.3885,0.1156,0.6305,0.4485,0.0,3.7698,2.1959,1.7853,-0.6115,-0.19,1.0,0.0
97,39.0,192.0,1842518.0,1842677.0,11211.0,639.0,387.0,1293558.0,35.0,141.0,1402.0,0.0,1.0,40.0,0.0556,0.5391,0.9623,0.1091,0.2394,0.4108,1.0,4.0496,2.1847,2.2014,0.0377,-0.0986,1.0,0.0
98,39.0,186.0,2229552.0,2229707.0,9484.0,655.0,382.0,1083941.0,41.0,141.0,1400.0,0.0,1.0,40.0,0.0557,0.5838,0.9484,0.105,0.2244,0.4058,1.0,3.977,2.1673,2.1903,0.0516,-0.1071,1.0,0.0
99,48.0,174.0,260349.0,260396.0,3661.0,184.0,87.0,380538.0,43.0,127.0,1358.0,0.0,1.0,40.0,0.0707,0.3818,0.373,0.0928,0.6848,0.5402,0.0,3.5636,2.1004,1.6721,-0.627,-0.1879,1.0,0.0
100,60.0,181.0,239041.0,239088.0,3324.0,157.0,85.0,343029.0,42.0,125.0,1360.0,0.0,1.0,40.0,0.0882,0.4155,0.3884,0.08900000000000001,0.7707,0.5529,0.0,3.5217,2.0828,1.6721,-0.6116,-0.1938,1.0,0.0
